n,nom,adresse,rue,tel,type,web
38,Coiffure Mixte Galais Yann,"43 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 36 24 03,hair_salon,http://galais.site-solocal.com/
39,Creperie Saint Michel,"105 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 78 85 94,dessert_shop,
40,Crêperie La Bergerie,"20 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 89 43 52,dessert_shop,
41,Diabolo,"17 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 36 40 05,clothing_store,http://www.diabolohennebont.com/
42,Epitete Morgane,"103 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 89 43 69,hair_salon,
43,Eurl Jolie Nature,"88 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,09 63 41 92 81,grocery_store,https://www.facebook.com/jolienaturebio/
44,Find Your Shoes,"1 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,06 40 12 33 22,shoe_store,
45,Happy nails,"29 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,07 69 59 16 66,nail_salon,https://instagram.com/ongles_hennebont?igshid=YTQwZjQ0NmI0OA==
46,HENNEBONT AUTO ECOLE,"21 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 36 59 09,educational_institution,https://www.hennebont-autoecole.com/
47,La casa Nonna - Pizzéria / Restaurant / Grill,"5 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,06 37 28 90 67,pizza_restaurant,
48,Le Fournil Du Haras,"101 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 36 22 36,bakery,
49,Maisons de Bretagne,"19 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 98 39 54 54,real_estate_agency,https://www.maisons-de-bretagne.com/annonces/285066/maisons-de-bretagne-hennebont.html
50,Natur'Eléa,"42 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 36 17 86,store,https://www.instagram.com/naturelea_hennebont?igsh=MWp6ZTJhYjEyd2UxMw%3D%3D&utm_source=qr
51,Rapid Couture - Hennebont,"2 bis Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 55 72 08,clothing_store,https://www.rapid-couture.com/atelier/rapid-couture-2-bis-rue-marechal-joffre-hennebont/
52,Restaurant La Madone Pizzeria à emporter Hennebont : Pizzas/Crousty Madone/Ciabatta,"19 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 85 07 17,pizza_restaurant,https://pizza-hennebont.fr/
53,Salaün Holidays Hennebont,"7 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,02 97 36 15 23,travel_agency,https://agences.salaun-holidays.com/fr/bretagne/morbihan/hennebont/salaun-holidays-hennebont-84
54,Seconde Main by Kris,"33 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,06 50 05 05 33,clothing_store,
55,Sozénitude,"22 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,07 61 11 24 64,massage_spa,
56,Studio Elegance,"29 Rue Maréchal Joffre, 56700 Hennebont, France",Rue Joffre,09 82 68 71 79,beauty_salon,https://www.studio-elegance.fr/
57,Dynamite Games,"1 Pl. du Général de Gaulle, 56700 Hennebont, France",Place de Gaulle,02 97 36 49 90,store,https://www.facebook.com/DynamiteGamesHennebont/
58,Epi Service,"3 Pl. du Général de Gaulle, 56700 Hennebont, France",Place de Gaulle,02 97 36 13 24,grocery_store,
59,Le Zinc,"7 Pl. du Général de Gaulle, 56700 Hennebont, France",Place de Gaulle,02 97 36 46 73,restaurant,
60,NOTAIRES BLAVET OCEAN. Me PEGOURIER-FISCHER et Me NIFOU.,"13 Pl. du Général de Gaulle, 56700 Hennebont, France",Place de Gaulle,02 97 36 20 77,finance,
