categorie,nom,telephone,adresse,site,maps,note,nb_avis,distance_km,place_id,statut_appel
nautique,Skaw Sailing Chantier,,"Terre-plein Papin, 56100 Lorient",https://www.skawsailing.com/,https://maps.google.com/?cid=12039924231558723959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.12,ChIJWxAXi29fEEgRd_msYExnFqc,a_appeler
nautique,Chantier du Guip,,"11 Rue Ingénieur Henry Verrière, 56100 Lorient",http://www.chantierduguip.com/,https://maps.google.com/?cid=5459233376808493549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.51,ChIJC1M_qMpfEEgR7WGg-tQXw0s,a_appeler
entreprise_autre,Lorima,02 97 87 98 44,"7 Rue du Commandant l'Herminier, 56100 Lorient",https://www.lorima.fr/,https://maps.google.com/?cid=8947948729849015519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,0.03,ChIJZ_BlV8tfEEgR3-wOJ_Z_LXw,a_appeler
entreprise_autre,Grand Large Yachting Lorient,02 97 83 01 31,"SM Block K1, Bâtiment K1, 56100 Lorient",https://www.grandlargeyachting.com/fr/,https://maps.google.com/?cid=7769028743571176533&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.12,ChIJhSfMyiZfEEgRVfxb7noi0Ws,a_appeler
entreprise_autre,Maison des Skippers,02 97 33 65 62,"du Terre-plein du Sous-Marin Papin, n°1, 56100 Lorient",http://www.lorientlabase-courseaularge.fr/,https://maps.google.com/?cid=5095676263018474288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.13,ChIJNy1R5h5fEEgRMCubK5B6t0Y,a_appeler
entreprise_autre,Interprofession du Port de Lorient,02 97 37 84 96,"Kéroman, 56100 Lorient",https://interprofession-port-lorient.com/c,https://maps.google.com/?cid=1032756811571201709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,4,0.15,ChIJndNi78xfEEgRrQYRLdkWVQ4,a_appeler
entreprise_autre,ORC Catamarans,02 97 83 01 31,"BSM de keroman, Rue du Commandant l'Herminier Bloc K1, 56100 Lorient",https://www.ocean-rider-catamarans.com/,https://maps.google.com/?cid=17920498717565869970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.16,ChIJBfJM3bRfEEgRkl9bAqNmsvg,a_appeler
entreprise_autre,Grand Large Services Bretagne,04 28 27 05 20,"SM Block K1, 56100 Lorient",https://grandlargeservices.com/,https://maps.google.com/?cid=10551484068937799385&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.7,3,0.19,ChIJU5lpZMBfEEgR2RY7RttmbpI,a_appeler
entreprise_autre,Meunier Naval Services,02 97 35 33 46,"29 Rue Ingénieur Henry Verrière, 56100 Lorient",,https://maps.google.com/?cid=16588914674025694319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.27,ChIJJbuyIMtfEEgRbwSREgGqN-Y,a_appeler
entreprise_autre,S.E.M Lorient Keroman,02 97 37 21 11,"Port de Pêche de Keroman, 56100 Lorient",http://www.keroman.fr/,https://maps.google.com/?cid=40735156421994829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.1,216,0.28,ChIJiWWJCzZeEEgRTSlnsGi4kAA,a_appeler
entreprise_autre,CDK Group,02 97 87 87 37,"Rue Ingénieur Henry Verrière, 56100 Lorient",https://www.cdk-technologies.com/,https://maps.google.com/?cid=7401485543387876851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,0.31,ChIJtYJLWrNfEEgR883SD-Nbt2Y,a_appeler
